                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5439,                 3.2607,                 1.6107,                0.49276,                    0.5,                  0.595,                  0.476,                  1.255,                  2.097,                 1.2248,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.3847,                 2.4895,                  1.501,                0.98184,                      1,                  0.995,                0.74569,                 1.1041,                 1.9032,                 1.2296,             0.00015097,             0.00015097,             0.00015097
                      3,                 1.2378,                 1.8063,                 1.4427,                0.97315,                    0.5,                0.66167,                0.54568,                 1.0844,                 1.7831,                 1.4119,             0.00022369,             0.00022369,             0.00022369
                      4,                 1.1716,                   1.58,                 1.3811,                 0.9826,                      1,                  0.995,                0.74576,                 1.1157,                 1.2447,                 1.4647,             0.00028962,             0.00028962,             0.00028962
                      5,                 1.1256,                 1.3768,                 1.3399,                0.98193,                      1,                  0.995,                0.79587,                 1.0494,                 1.4327,                 1.3243,             0.00034877,             0.00034877,             0.00034877
                      6,                 1.1125,                 1.4211,                 1.3204,                0.98926,                      1,                  0.995,                0.79586,                 1.0123,                  1.732,                 1.2574,             0.00040112,             0.00040112,             0.00040112
                      7,                 1.1066,                 1.3003,                 1.2753,                0.96957,                      1,                  0.995,                 0.6475,                 1.1516,                0.86256,                 1.0665,             0.00044668,             0.00044668,             0.00044668
                      8,                  1.076,                   1.23,                 1.2694,                0.65816,                      1,                  0.995,                0.84626,                0.73532,                 1.9319,                0.89262,             0.00048545,             0.00048545,             0.00048545
                      9,                 1.1139,                 1.3188,                 1.2778,                0.65967,                      1,                  0.995,                 0.8955,                0.74889,                 2.4256,                0.99359,             0.00051744,             0.00051744,             0.00051744
                     10,                 1.0009,                 1.0735,                   1.19,                      1,                      1,                  0.995,                0.94529,                0.52028,                 1.9824,                0.84349,             0.00054263,             0.00054263,             0.00054263
                     11,                0.96023,                 1.0393,                 1.2165,                0.96801,                      1,                  0.995,                0.82113,                0.71917,                 1.6274,                  0.973,             0.00056103,             0.00056103,             0.00056103
                     12,                 1.0249,                 1.0301,                 1.2297,                0.97499,                      1,                  0.995,                0.82111,                0.85727,                0.91721,                0.98961,             0.00057263,             0.00057263,             0.00057263
                     13,                0.90047,                0.94497,                 1.1742,                0.98276,                      1,                  0.995,                0.74867,                 1.0232,                 1.2851,                 1.0372,             0.00057745,             0.00057745,             0.00057745
                     14,                 1.0237,                0.96329,                 1.2395,                0.98259,                      1,                  0.995,                0.82125,                0.68084,                 1.3198,                0.82979,             0.00057548,             0.00057548,             0.00057548
                     15,                0.96496,                0.94811,                 1.2204,                0.98294,                      1,                  0.995,                 0.8955,                0.53783,                0.82921,                0.77748,             0.00056672,             0.00056672,             0.00056672
                     16,                0.74015,                0.89766,                 1.0957,                0.98285,                      1,                  0.995,                 0.8955,                 0.4777,                 0.5657,                0.70578,             0.00055117,             0.00055117,             0.00055117
                     17,                0.67161,                0.69921,                 1.0443,                0.98299,                      1,                  0.995,                 0.8955,                0.52933,                0.67008,                0.71213,             0.00052359,             0.00052359,             0.00052359
                     18,                0.61034,                0.63001,                 1.0133,                0.98151,                      1,                  0.995,                 0.8955,                0.69282,                0.78691,                0.79125,             0.00052359,             0.00052359,             0.00052359
                     19,                0.64367,                0.63553,                 1.0513,                0.97753,                      1,                  0.995,                 0.8955,                 0.7087,                0.84286,                0.80424,               0.000467,               0.000467,               0.000467
                     20,                0.67602,                0.61698,                 1.0444,                0.97889,                      1,                  0.995,                 0.8955,                0.66982,                0.92635,                0.82525,             0.00041041,             0.00041041,             0.00041041
                     21,                0.65996,                0.61512,                 1.0415,                 0.9699,                      1,                  0.995,                 0.8955,                0.67625,                0.93061,                0.85789,             0.00035382,             0.00035382,             0.00035382
                     22,                0.63227,                0.59997,                 1.0536,                0.97634,                      1,                  0.995,                 0.8955,                0.69399,                 1.1857,                0.91155,             0.00029723,             0.00029723,             0.00029723
                     23,                0.57767,                0.54464,                0.95266,                0.98133,                      1,                  0.995,                 0.8955,                0.68812,                 1.0379,                0.88465,             0.00024064,             0.00024064,             0.00024064
                     24,                0.53579,                0.49601,                0.97612,                0.98124,                      1,                  0.995,                0.84571,                0.61663,                0.83535,                0.81086,             0.00018406,             0.00018406,             0.00018406
                     25,                0.55488,                0.50397,                 0.9783,                0.98187,                      1,                  0.995,                 0.8955,                0.56889,                0.80544,                0.79532,             0.00012747,             0.00012747,             0.00012747
